Title,Sample,Sample Type,Date,Party,Net
AtlasIntel,"2,703",LV,Nov. 3-4,Republican,+1
AtlasIntel,"2,703",LV,Nov. 3-4,Republican,+1
Research Co.,"1,003",LV,Nov. 3-4,Democrat,+2
John Zogby Strategies,"1,005",LV,Nov. 3-4,Democrat,+2
John Zogby Strategies,"1,005",LV,Nov. 2-3,Democrat,+4
TIPP Insights,"1,411",LV,Nov. 2-3,Republican,+1
TIPP Insights,"1,411",LV,Nov. 2-3,Independent,Even
Patriot Polling,"1,115",RV,Nov. 2-3,Democrat,+1
Ipsos,973,LV,Nov. 2-3,Democrat,+2
Ipsos,"1,242",A,Nov. 2-3,Democrat,+2
Leger,886,LV,Nov. 1-3,Democrat,+1
AtlasIntel,"2,463",LV,Nov. 1-3,Republican,+2
AtlasIntel,"2,463",LV,Nov. 1-3,Republican,+2
Marist College,"1,446",RV,Nov. 1-3,Independent,Even
Marist College,"1,297",LV,Nov. 1-3,Democrat,+4
Hart Research Associates/Public Opinion Strategies,"1,000",RV,Nov. 1-3,Independent,Even
Hart Research Associates/Public Opinion Strategies,"1,000",RV,Nov. 1-3,Republican,+1
HarrisX,"4,520",RV,Nov. 1-3,Democrat,+1
HarrisX,"4,520",RV,Nov. 1-3,Independent,Even
HarrisX,"3,759",LV,Nov. 1-3,Democrat,+2
HarrisX,"3,759",LV,Oct. 31-Nov. 3,Democrat,+1
Emerson College,"1,000",LV,Oct. 31-Nov. 3,Independent,Even
ActiVote,"1,000",LV,Nov. 1-2,Republican,+1
Targoz Market Research,"1,088",LV,Nov. 1-2,Democrat,+3
Targoz Market Research,"1,200",RV,Nov. 1-2,Democrat,+4
Ipsos,"2,267",LV,Nov. 1-2,Democrat,+3
Ipsos,"2,735",RV,Oct. 31-Nov. 2,Democrat,+3
Ipsos,"3,140",A,Oct. 31-Nov. 2,Democrat,+3
Kaplan Strategies,671,RV,Oct. 31-Nov. 2,Republican,+1
SoCal Strategies,984,LV,Oct. 31-Nov. 2,Republican,+1
AtlasIntel,"3,490",LV,Oct. 30-Nov. 2,Republican,+1
AtlasIntel,"3,490",LV,Oct. 30-Nov. 2,Republican,+2
YouGov,"1,152",LV,Oct. 30-Nov. 2,Democrat,+1
YouGov,"1,267",RV,Oct. 30-Nov. 2,Independent,Even
YouGov,"1,152",LV,Oct. 30-Nov. 2,Independent,Even
YouGov,"1,267",RV,Oct. 30-Nov. 2,Independent,Even
TIPP Insights,"1,249",LV,Oct. 30-Nov. 2,Republican,+1
TIPP Insights,"1,249",LV,Oct. 30-Nov. 2,Republican,+1
Morning Consult,"8,918",LV,Oct. 30-Nov. 2,Democrat,+2
Echelon Insights,"1,328",LV,Oct. 30-Nov. 2,Democrat,+2
Echelon Insights,"1,328",LV,Oct. 30-Nov. 2,Democrat,+2
